#Teff log_g M_div_h F606W F814W 
3263.1579 2.3684211 -0.35714286 -2.418 0.209
3263.1579 2.3684211 0.071428571 -2.971 -0.013
3263.1579 2.3684211 0.5 -3.414 -0.31
3526.3158 2.3684211 -2.5 -0.799 0.544
3526.3158 2.3684211 -2.0714286 -0.828 0.518
3526.3158 2.3684211 -1.6428571 -0.883 0.487
7736.8421 0 -2.0714286 0.283 0.434
3526.3158 2.3684211 -1.2142857 -1.001 0.449
3526.3158 2.3684211 -0.78571429 -1.203 0.412
3526.3158 2.3684211 -0.35714286 -1.501 0.366
3526.3158 2.3684211 0.071428571 -1.861 0.3
3526.3158 2.3684211 0.5 -2.246 0.202
3789.4737 2.3684211 -2.5 -0.638 0.558
3789.4737 2.3684211 -2.0714286 -0.667 0.519
3789.4737 2.3684211 -1.6428571 -0.692 0.49
3789.4737 2.3684211 -1.2142857 -0.719 0.478
3789.4737 2.3684211 -0.78571429 -0.765 0.476
7736.8421 0 -1.6428571 0.315 0.464
3789.4737 2.3684211 -0.35714286 -0.847 0.476
3789.4737 2.3684211 0.071428571 -0.964 0.487
3789.4737 2.3684211 0.5 -1.136 0.497
4052.6316 2.3684211 -2.5 -0.46 0.593
4052.6316 2.3684211 -2.0714286 -0.474 0.564
4052.6316 2.3684211 -1.6428571 -0.484 0.55
4052.6316 2.3684211 -1.2142857 -0.487 0.549
4052.6316 2.3684211 -0.78571429 -0.489 0.555
