# Isochrone by Pietrinferni - Cassisi - Salaris - Castelli 2006 ::: Standard Model 
#===========================================================================================================================
# Scaled solar model & transformations for ACS            (Castelli 2004)
#===========================================================================================================================
#  Np= 2000   [M/H]=-1.790   Z= 0.0003   Y=0.245   t(Gyr)= 13.3200    normalized:  3  2 2006 
#===========================================================================================================================
#     (M/Mo)in       (M/Mo)     log(L/Lo)  logTe     F435W   F475W   F555W   F606W   F625W   F775W   F814W
#===========================================================================================================================
   0.6833564509   0.6833564509  -0.24623  3.77812    5.997   5.823   5.538   5.376   5.212   4.880   4.841
   0.6852918414   0.6852918414  -0.23628  3.77921    5.968   5.795   5.512   5.351   5.188   4.858   4.819
   0.6872272320   0.6872272320  -0.22625  3.78030    5.939   5.768   5.486   5.326   5.164   4.835   4.797
   0.6891626225   0.6891626225  -0.21615  3.78138    5.909   5.739   5.460   5.301   5.139   4.812   4.775
   0.6910980131   0.6910980131  -0.20597  3.78246    5.879   5.711   5.434   5.275   5.115   4.790   4.752
   0.6930334036   0.6930334036  -0.19571  3.78353    5.849   5.683   5.407   5.250   5.090   4.767   4.729
   0.6949687942   0.6948747456  -0.18536  3.78459    5.819   5.654   5.380   5.224   5.065   4.743   4.706
   0.6969041847   0.6966702313  -0.17493  3.78566    5.789   5.625   5.353   5.198   5.040   4.720   4.683
   0.6988395753   0.6984605067  -0.16440  3.78671    5.759   5.596   5.326   5.172   5.014   4.696   4.660
   0.7007749659   0.7003563244  -0.15377  3.78774    5.728   5.567   5.299   5.145   4.989   4.672   4.636
